app_id,genre
91330,Action
91330,Simulation
91330,Strategy
91600,Action
91600,Casual
91600,Indie
91600,Strategy
91900,Action
91900,Racing
92000,Action
92000,Adventure
92000,Indie
92000,Strategy
92700,Action
92800,Indie
92800,Simulation
93200,Action
93200,Indie
93200,Strategy
94200,Action
94200,Indie
94300,Adventure
94300,Casual
94300,Indie
94620,Adventure
94620,Casual
95300,Action
95300,Indie
96000,Adventure
96000,Casual
96000,Indie
96800,Action
97000,Action
97000,Adventure
97000,Casual
97000,Indie
97000,Simulation
97110,Strategy
97130,Strategy
97330,Strategy
98300,Action
98300,Casual
98300,Simulation
98300,Strategy
98400,Action
98400,Indie
99100,Action
99100,RPG
99120,Action
99300,Action
99400,Action
99400,Indie
99700,Casual
99700,Indie
99700,Strategy
99830,Action
102200,Adventure
102200,Indie
102200,RPG
102500,Action
102500,RPG
102600,Action
102600,Indie
102600,Strategy
102810,Action
102810,Adventure
102810,Indie
104100,Action
104100,Indie
104100,Strategy
104200,Adventure
104200,Indie
104900,Action
104900,Adventure
104900,Indie
104900,RPG
105100,Adventure
105100,Casual
105100,Indie
105420,Action
105420,Indie
105450,Simulation
105450,Strategy
105600,Экшены
105600,Приключенческие игры
105600,Инди
105600,Ролевые игры
105800,Action
105800,Casual
105800,Indie
107100,Action
107100,Indie
107100,RPG
107200,Action
107200,Indie
107200,RPG
107200,Strategy
107310,Indie
107310,RPG
107410,Action
107410,Simulation
107410,Strategy
108110,RPG
108110,Simulation
108200,Casual
108200,Indie
108200,Strategy
108500,Action
108500,Indie
108500,Strategy
108600,Indie
108600,RPG
108600,Simulation
108600,Early Access
108710,Action
108710,Adventure
109200,Casual
109200,Indie
109600,Action
109600,Adventure
109600,Massively Multiplayer
109600,RPG
109600,Free to Play
110400,Indie
110400,Racing
110800,Adventure
110800,Strategy
111010,Adventure
111010,Casual
111010,Indie
111100,Casual
111100,Indie
111100,Racing
111300,Action
111300,Racing
111300,Sports
111800,Casual
111800,Indie
112100,Indie
112100,RPG
113200,Action
113200,Adventure
113200,Indie
113200,RPG
113400,Action
113400,Massively Multiplayer
113400,Free to Play
113420,Free to Play
113420,Massively Multiplayer
113420,RPG
115110,Adventure
115110,Indie
115300,Action
116100,Indie
116100,Racing
116120,Action
116120,Casual
116120,Indie
200010,Casual
200010,Strategy
200020,Action
200150,Casual
200150,Strategy
200170,Strategy
200190,Adventure
200190,Indie
200210,Action
200210,Free to Play
200210,Indie
200210,Massively Multiplayer
200210,RPG
200230,Racing
200230,Simulation
200410,Action
200410,Indie
200410,Simulation
200490,Adventure
200900,Action
200900,Adventure
200900,Indie
200910,Indie
200910,RPG
200960,Strategy
200960,RPG
200960,Indie
201210,RPG
201210,Strategy
201210,Free to Play
201230,Massively Multiplayer
201230,RPG
201230,Free to Play
201270,Strategy
201271,Strategy
201290,Indie
201290,Strategy
201420,Adventure
201420,Casual
201420,Indie
201480,Action
201480,Indie
201480,RPG
201490,Simulation
201490,Strategy
201510,Racing
201570,Action
201570,Indie
201790,Action
201790,Adventure
201790,Indie
201790,RPG
201790,Strategy
201810,Action
201830,Adventure
202130,Strategy
202170,Action
202170,Adventure
202200,Indie
202200,Strategy
202410,Action
202410,Indie
202670,Adventure
202690,Indie
202690,Strategy
202710,Action
202710,Indie
202710,RPG
202710,Strategy
202750,Action
202750,Adventure
202970,Action
203140,Action
203210,Action
203210,Casual
203210,Indie
203290,Action
203290,Free to Play
203350,RPG
203350,Strategy
203510,Action
203510,Indie
203510,RPG
203630,Strategy
203680,Racing
203750,Action
203830,Adventure
203830,Indie
203990,Action
203990,Indie
204030,Action
204030,Adventure
204030,RPG
204100,Action
204220,Adventure
