streamer_id,streamer_name,followers
39048329 ,Vovapain,252204 
191037518 ,dasha228play,250853 
441460079 ,akumaqqe,244027 
53205610 ,GalaxyyK,243268 
124021995 ,BTSBrasilTV,242030 
22561231 ,PurgeGamers,238787 
71558231 ,qSnake,229628 
270259727 ,bratiki94,228159 
35916854 ,Alkaizerx,226726 
141477796 ,iltw1,226617 
107321074 ,Quinndota,224900 
140968760 ,watsondoto,211610 
431644708 ,INBoss1k,206157 
194701696 ,PGL_DOTA2EN2,202406 
190317501 ,PortalRunner,3787 
116618663 ,The_Nathan_V,2522 
442310584 ,MageMateus,1888 
720035695 ,nickysimss,1488 
45861120 ,Burger40,1443 
131460627 ,KirikTheOrc,1392 
122863282 ,dresche_freihaus,1357 
644830187 ,EinfachSHG,1121 
744427042 ,amgk1ngsman,892 
55443248 ,GeneralBurnout,859 
855373395 ,EOISvt,851 
164526301 ,Wushensnake,851 
183600104 ,mama_alessiah,617 
562721144 ,TylerTheScpGuy,617 
121182032 ,WolfTheLycanthrope,589 
650875939 ,EthniasLIVE,536 
655814174 ,MadGabster21,516 
48944891 ,Gumstitch,504 
102468446 ,Luna_Bold,496 
207662163 ,m1a2d3i4n5,481 
238749833 ,HnstlyNbdy,475 
450246887 ,Nikiu_Poryam,471 
271808620 ,RosietheReviver,461 
189925939 ,Not_Charli,446 
43494586 ,DeathTech154,415 
54431770 ,Raichelpop,385 
125614660 ,TezraVT,355 
61042156 ,mathrim_cauthon,347 
453640117 ,UniACHCorn,318 
67001668 ,Portal_Rex,287 
186117824 ,HeySiya,279 
695317082 ,SpawnXDie,263 
105120436 ,Krewlex_Ghost,256 
134865820 ,poliana_sg,255 
904588026 ,numbynoodles,238 
559962875 ,PiiNutCha,232 
670236974 ,AuthentiKay,231 
553542831 ,RainningDeath,226 
759361423 ,Jack__VT,217 
50262191 ,DarkLord_Dread,211 
596766848 ,JenerationNext,196 
693175665 ,someturkeywithacomputer,196 
168558690 ,Giraffe_Boi,194 
41429292 ,Zariith,191 
761015813 ,Ely4nora,190 
52314078 ,iamAMJ,180 
1021840342 ,DemonBoyRenn,141 
886862140 ,Mr_Chaser_,139 
985495716 ,tuhlijnosok,133 
918600127 ,lunalessia,130 
84836384 ,COOLLER,56200 
44063497 ,102ash,2558 
257420273 ,TimConLAN,2400 
139950331 ,w00deh,1950 
138695593 ,inzinzinz,1393 
69119998 ,DefragLive,1372 
31437185 ,Troolz__,1055 
12949824 ,Rellq,828 
102938005 ,nyxiadash,781 
498194205 ,annkapa,245 
684264792 ,ScarletQ3,172 
594616317 ,YouraTheGuide,90 
26808020 ,ARSENYxD,61 
713332651 ,kisimov,2343 
486314437 ,ComfyByTheFire,2105 
42975730 ,ZorakWar,1633 
1018025924 ,miukyun,910 
81335325 ,bps__,568 
40459066 ,badsebitv,471 
154177761 ,sweetvision,460 
509343292 ,dracs_gaming,349 
50791820 ,peppe_qw,270 
39729686 ,korenya,261 
753177993 ,Hardyhara,233 
101341399 ,metatheknight47,124 
788947023 ,NickStarlingCh,111 
932505056 ,unkle_vania_,111 
22410859 ,rocketazotv,704 
25353492 ,The__Cop,182 
194427028 ,iYagoEP,26 
110036445 ,gemothy,7365 
746989662 ,rummie_vtuber,2583 
403293418 ,HateCxRe,1142 
703375477 ,TomimiMoruru,1056 
66952811 ,Rayju_Lucifurus,590 
67067705 ,xFi3RY,537 
91117235 ,goldfishgurney,326 
50560457 ,heycee,324 
501930914 ,HabaDacter,301 
97974198 ,Mouseforatu,244 
966079429 ,MissHo3Kage,206 
