app_id,language
12830,German
12830,Italian
12830,Spanish
12900,English
12900,Russian
13000,English
13000,French
13000,German
13000,Italian
13000,Spanish
13000,Japanese
13140,English
13500,English
13500,German
13500,Italian
13500,Spanish
13520,English
13520,French
13530,English
13530,French
13530,German
13530,Italian
13530,Spanish
13560,English
13560,French
13570,English
13570,French
13570,German
13570,Spanish
13570,Italian
13580,English
13580,French
13580,German
13580,Italian
13580,Spanish
13600,English
13600,French
13600,German
13600,Italian
13600,Spanish
15000,English
15080,English
15080,French
15080,Spanish
15100,English
15100,French
15100,Italian
15100,German
15100,Spanish
15120,English
15120,French
15120,Italian
15120,German
15120,Spanish
15130,English
15130,French
15130,German
15130,Italian
15130,Spanish
15160,English
15160,French
15160,Spanish
15190,English
15190,French
15190,Italian
15190,Dutch
15190,Spanish
15200,English
15200,French
15200,Spanish
15210,English
15210,German
15270,English
15270,French
15270,Italian
15270,German
15270,Spanish
15320,English
15320,Russian
15560,English
15620,English
15620,French
15620,German
15620,Italian
15620,Spanish
15710,English
15710,French
15710,German
15710,Italian
15710,Spanish
15750,English
16300,English
16450,English
16450,French
16450,Italian
16450,German
16450,Spanish
16450,Polish
16450,Russian
16450,Czech
16450,Hungarian
16600,English
16600,French
16600,Italian
16600,German
16600,Spanish
16600,Russian
16600,Polish
16600,Swedish
16600,Czech
16600,Finnish
16620,English
16710,English
16720,English
16720,French
16730,English
16810,English
16810,French
16810,German
16810,Spanish
16810,Italian
16900,English
17100,English
17100,French
17100,German
17100,Italian
17100,Spanish
17300,English
17300,French
17300,German
17300,Spanish
17300,Italian
17300,Czech
17300,Polish
17300,Russian
17300,Hungarian
17390,English
17390,Czech
17390,Danish
17390,German
17390,Spanish
17390,Finnish
17390,French
17390,Italian
17390,Hungarian
17390,Dutch
17390,Norwegian
17390,Polish
17390,Russian
17390,Swedish
17390,Portuguese
17410,English
17410,French
17410,German
17410,Italian
17410,Spanish
17410,Czech
17410,Russian
17410,Polish
17410,Hungarian
17410,Portuguese
17450,English
17450,Spanish
17450,Italian
17450,Czech
17450,French
17450,German
17450,Polish
17450,Russian
17460,English
17460,French
17460,German
17460,Spanish
17460,Italian
17480,English
17480,French
17480,German
17480,Italian
17480,Czech
17480,Hungarian
17480,Polish
17480,Russian
17480,Spanish
17570,Danish
17570,Dutch
17570,English
17570,Finnish
17570,French
17570,German
17570,Norwegian
17570,Portuguese
17570,Russian
17570,Spanish
17570,Swedish
17570,Italian
17570,Bulgarian
17570,Czech
17570,Greek
17570,Hungarian
17570,Japanese
17570,Korean
17570,Polish
17570,Portuguese
17570,Romanian
17570,SimplifiedChinese
17570,Spanish
17570,Thai
17570,TraditionalChinese
17570,Turkish
17570,Ukrainian
17570,Vietnamese
18000,English
18020,English
18040,English
18070,English
18300,English
18420,English
18470,English
18470,French
18470,German
18470,Spanish
18500,English
18500,French
18500,Italian
18500,German
18500,Spanish
19680,English
19680,French
19680,German
19680,Italian
19680,Japanese
19680,Spanish
19800,English
19800,French
19800,Italian
19800,German
19800,Spanish
19830,English
19980,English
19980,French
19980,Italian
19980,German
19980,Spanish
20500,English
20500,French
20500,German
20500,Italian
20500,Spanish
20500,Czech
20500,Polish
20500,Russian
20510,English
20510,French
20510,German
20510,Spanish
20510,Russian
20510,Ukrainian
20510,Italian
20510,Polish
20530,English
20550,English
20570,English
20570,French
20570,German
20570,Italian
20570,Spanish
20700,English
20710,English
20820,English
20820,French
20820,German
20820,Italian
20820,Spanish
21010,English
21010,French
21010,Italian
21010,German
21010,Spanish
21030,English
21030,French
21030,German
21030,Italian
21030,Spanish
21640,English
21640,French
21640,German
21640,Italian
21640,Spanish
21690,English
21690,French
21690,German
21690,Italian
21690,Japanese
21690,Spanish
21690,Czech
21690,Polish
21690,Russian
21780,English
21780,French
21780,German
21780,Italian
21780,Spanish
22100,English
22100,German
22100,Polish
22100,SimplifiedChinese
22100,TraditionalChinese
22100,Czech
22120,English
22180,English
22200,English
22200,German
22200,French
22200,Polish
22200,Spanish
22230,English
22230,French
22230,German
22230,Italian
22230,Japanese
22230,Russian
22230,Spanish
22300,English
22300,French
22300,Italian
22300,German
22300,Spanish
22320,English
22320,French
22320,German
22340,English
22350,English
22350,French
22350,German
22350,Italian
22350,Spanish
22450,English
22450,French
22450,German
22450,Italian
22450,Spanish
22500,English
22500,Russian
22650,English
22650,French
22650,German
22650,Italian
22650,Japanese
22650,Spanish
22670,English
22670,French
22670,German
22670,Italian
22670,Japanese
22670,Spanish
23400,English
23400,French
23400,German
23420,English
23490,English
23490,French
23490,German
23490,Italian
23490,Spanish
23500,English
23530,English
23600,English
24010,English
24010,French
24010,Italian
24010,German
24010,Spanish
24010,Polish
24010,Russian
24010,SimplifiedChinese
24240,English
24240,French
24240,German
24240,Italian
24240,Spanish
24400,English
24420,English
24670,English
24780,Danish
24780,Dutch
24780,English
24780,French
24780,German
24780,Italian
24780,Spanish
24780,Swedish
24790,Dutch
24790,English
24790,French
24790,German
24790,Italian
24790,Polish
24790,Russian
24790,Spanish
24790,Swedish
24790,Hungarian
24800,English
24800,French
24800,German
24800,Italian
24800,Spanish
24800,Czech
24800,Hungarian
24800,Polish
24800,Russian
24810,Dutch
24810,English
24810,French
24810,German
24810,Italian
24810,Polish
24810,Russian
24810,Spanish
24810,Swedish
24810,Hungarian
24870,English
24870,French
24870,German
24870,Spanish
24870,Italian
24870,Polish
24870,Russian
24880,English
24880,French
24880,German
24880,Italian
24880,Polish
24880,Russian
25000,English
25010,English
25620,English
25700,English
25700,German
25700,Korean
25700,Portuguese
25700,Spanish
25700,French
25700,Italian
25700,Russian
25890,English
25890,French
25890,German
25890,Spanish
25980,English
25980,French
25980,German
25990,English
26000,English
26000,French
26000,Italian
26000,German
26000,Spanish
26000,Korean
26000,Japanese
26000,TraditionalChinese
26500,English
26500,French
26500,German
26500,Italian
26500,Polish
26500,Russian
26900,English
27000,English
27000,Dutch
27000,Danish
27000,French
27000,German
27000,Hungarian
27000,Italian
27000,Portuguese
27000,Spanish
27800,English
27800,French
27800,German
27800,Italian
27800,Spanish
27800,Portuguese
27800,Japanese
27810,English
27810,Italian
27810,Japanese
27810,Portuguese
28000,English
28000,French
28000,German
28000,Italian
28000,Spanish
29180,English
29180,French
29180,German
29180,Spanish
29180,Italian
29570,English
29570,French
29570,Italian
29570,German
29570,Spanish
29570,Russian
29570,Polish
29570,Korean
31100,English
31100,French
31100,German
31100,Italian
31100,Spanish
31100,English
31170,English
31170,French
31170,German
31230,English
31240,English
31250,English
31280,English
31300,English
31800,English
31810,English
31830,English
31830,French
31860,English
32150,English
32310,English
32330,English
32340,English
32350,English
32350,French
32350,Italian
32350,German
32350,Spanish
32370,English
32370,German
32370,Spanish
32370,Italian
32370,French
32380,English
32380,French
32380,Italian
32380,Spanish
32400,English
32400,French
32400,German
32400,Italian
32400,Spanish
32410,English
32410,French
32410,German
32430,English
32430,French
32430,German
32430,Italian
32430,Spanish
32440,English
32440,French
32440,Italian
32440,German
32440,Spanish
32460,English
32460,German
32460,Italian
32460,Spanish
32460,French
32470,English
32470,French
32470,Italian
32470,German
32470,Spanish
32500,English
32500,French
32500,German
32500,Italian
32500,Spanish
32500,Polish
32500,Russian
32510,English
32510,Danish
32510,French
32510,German
32510,Italian
32510,Spanish
32610,English
32620,English
32630,English
32640,English
32650,English
32660,English
32670,English
32750,English
32760,English
32770,English
32800,English
32800,German
32800,French
32800,Italian
32800,Spanish
32800,Russian
32800,Polish
32800,Portuguese
32900,English
32900,French
33100,English
33100,Russian
33130,English
33130,Russian
33320,English
33320,French
33320,German
33320,Italian
33320,Spanish
33390,English
33390,French
33390,German
33390,Italian
33390,Spanish
33460,English
33460,French
33460,German
33460,Italian
33460,Spanish
33520,English
33570,English
33600,English
33600,French
33600,Italian
33600,German
33600,Spanish
33600,Portuguese
33600,Russian
33620,English
33620,French
33620,German
33670,English
33670,French
33670,German
33680,English
33770,English
33980,English
33990,English
34030,Czech
34030,English
34030,French
34030,German
34030,Italian
34030,Polish
34030,Russian
34030,Spanish
34190,English
34410,English
34410,Russian
34410,Italian
34410,Spanish
34410,French
34500,English
34600,English
34600,French
34600,German
34600,Italian
34600,Polish
34600,Russian
34600,Spanish
34810,English
34810,French
34810,Italian
34810,German
34830,English
34830,French
34830,German
34830,Italian
34830,Polish
34830,Spanish
34870,English
34870,French
34870,German
34870,Italian
34870,Spanish
34870,Polish
34870,Czech
34870,Japanese
34870,Korean
34870,Russian
34900,English
35000,English
35130,English
35130,French
35130,German
35130,Italian
35130,Spanish
35140,English
35140,French
35140,German
35140,Italian
35140,Spanish
35320,English
35320,Russian
35460,English
35460,Danish
35460,Dutch
35460,French
35460,German
35460,Italian
35460,Spanish
35460,Swedish
35460,Russian
37000,English
37000,German
37000,Polish
37000,Russian
37240,English
37260,English
37300,English
37380,English
37390,English
37400,English
37600,English
38400,English
38400,French
38400,German
38400,Spanish
38410,English
38410,French
38410,German
38420,English
38420,French
38420,German
38430,English
38430,French
38440,English
38440,French
38440,German
38440,Italian
38440,Spanish
38450,English
38450,French
38450,German
38450,Italian
38450,Polish
38450,Spanish
38460,English
38460,French
38460,German
38460,Italian
38460,Spanish
39000,English
39110,English
39110,French
39110,German
39110,Japanese
39110,Spanish
39140,English
39140,German
39140,French
39140,Spanish
39200,English
39200,French
39200,German
39200,Italian
39200,Japanese
39200,Spanish
39500,English
39500,French
39500,German
39500,Spanish
39500,Italian
39500,Polish
39500,Russian
39510,English
39510,French
39510,German
39510,Italian
39510,Spanish
39510,Polish
39510,Russian
39520,English
39520,German
39530,English
39530,French
39530,German
39530,Spanish
39550,English
39550,French
39550,German
39550,Italian
39550,Spanish
39550,Polish
39550,Russian
39560,English
39560,French
39560,German
39560,Italian
39560,Spanish
39640,English
39640,French
39640,German
39650,English
39650,French
39650,German
39650,Italian
39650,Spanish
39660,English
39660,French
39660,German
39660,Italian
39660,Spanish
39670,English
39670,French
39670,German
39670,Hungarian
39670,Japanese
39670,Russian
39670,Spanish
39680,English
39680,German
39680,French
39680,Italian
39680,Spanish
39800,English
39800,Japanese
39800,French
39800,German
39800,Italian
39800,Portuguese
39800,TraditionalChinese
39800,Spanish
39800,Russian
39800,SimplifiedChinese
40100,English
40100,French
40100,German
40100,Italian
40100,Spanish
40300,English
40300,French
40300,German
40300,Italian
40300,Spanish
40300,Polish
40300,Russian
40320,English
40320,French
40320,German
40320,Italian
40330,English
40330,French
40330,German
40330,Italian
40340,English
40340,French
40340,German
40340,Italian
40340,Spanish
40350,English
40350,French
40350,German
40350,Italian
40350,Spanish
40380,English
40380,French
40380,German
40380,Italian
40380,Spanish
40720,English
40720,French
40720,Italian
40720,German
40720,Spanish
40720,Arabic
40720,Portuguese
40720,Bulgarian
40720,Danish
40720,Finnish
40720,Dutch
40720,Japanese
40720,Korean
40720,Spanish
40720,Hungarian
40720,Norwegian
40720,Polish
40720,Portuguese
40720,Romanian
40720,Russian
40720,Thai
40720,TraditionalChinese
40720,Turkish
40720,Ukrainian
40720,Vietnamese
40720,SimplifiedChinese
40720,Czech
40720,Greek
40720,Swedish
40960,English
40960,French
40960,Italian
40960,German
40960,Spanish
40960,Polish
40960,Russian
40960,SimplifiedChinese
40980,English
40980,French
40980,Italian
40980,German
40980,Spanish
40980,Polish
40980,Russian
40980,SimplifiedChinese
41014,English
41014,French
41014,German
41014,Italian
41014,Spanish
41014,Russian
41050,English
41300,English
41500,English
41700,German
41700,English
41700,French
41700,Italian
41700,Russian
41700,Spanish
41700,Ukrainian
41700,Polish
41730,English
41730,French
41730,German
41730,Italian
41730,Japanese
41730,Korean
41730,Spanish
41740,English
41740,French
41740,German
41740,Italian
41740,Spanish
41740,Russian
41740,Polish
41800,English
41900,English
41900,French
41900,Italian
41900,German
41900,Spanish
41900,Polish
41900,Russian
42120,English
42120,French
42120,German
42120,Italian
42120,Spanish
42140,English
42140,French
42140,German
42140,Italian
42140,Spanish
42140,Swedish
42170,English
42170,German
42170,Portuguese
42170,Portuguese
42170,Russian
42170,Polish
42170,Hungarian
42220,English
42670,English
42670,French
42670,German
42670,Italian
42670,Spanish
42700,English
42700,German
42700,Italian
42700,Spanish
42700,French
42810,English
42890,English
42920,English
42980,English
42990,English
43110,English
43110,Czech
43110,Dutch
43110,French
43110,German
43110,Italian
43110,Polish
43110,Russian
43110,Spanish
43190,English
43190,French
43190,German
43190,Italian
43190,Spanish
43190,Portuguese
44340,English
44340,French
44340,German
44340,Italian
44340,Spanish
44350,English
44350,German
44350,French
44350,Italian
44350,Spanish
44350,Japanese
44350,Polish
44350,Portuguese
44360,German
44360,French
44360,Italian
44360,Spanish
44360,English
44690,English
45000,English
45100,English
45100,French
45100,German
45100,Spanish
45100,Hungarian
45100,Russian
45300,English
45300,Russian
45300,French
45300,German
45300,Italian
45300,Spanish
45410,English
45410,French
45410,Italian
45410,German
45410,Spanish
45410,Polish
45410,Turkish
45450,English
45450,French
45450,German
45450,Hungarian
45450,Italian
45450,Spanish
45730,English
45730,French
45730,German
45730,Italian
45730,Spanish
46250,English
46250,Russian
46250,German
46250,Polish
46250,Czech
46260,English
46260,Russian
46280,English
46280,Polish
46370,English
46370,German
46370,Polish
46400,English
46400,German
46450,English
46450,German
46460,English
46480,English
46480,French
46480,German
46480,Spanish
46490,English
46490,French
46490,German
46490,Italian
46490,Spanish
46500,English
46500,French
46500,German
46500,Spanish
46500,Italian
46500,Japanese
46500,Polish
46500,Russian
46560,English
46560,French
46560,German
46560,Spanish
46570,English
46570,German
46750,English
46770,English
46770,German
46770,French
46770,Spanish
47400,English
47400,French
47400,German
47400,Italian
47400,Spanish
47400,Japanese
47400,Polish
47400,Russian
47920,English
47920,French
47920,German
47920,Italian
47920,Polish
47920,Russian
47920,Spanish
48110,English
48150,English
48150,French
48150,German
48150,Italian
48150,Spanish
48190,Danish
48190,Dutch
48190,English
48190,French
48190,German
48190,Italian
48190,Norwegian
48190,Polish
48190,Portuguese
48190,Spanish
48190,Swedish
48190,Korean
48190,SimplifiedChinese
48190,TraditionalChinese
48220,Czech
48220,English
48220,French
48220,German
48220,Hungarian
48220,Italian
48220,Korean
48220,Polish
48220,Russian
48220,Spanish
48240,English
48240,French
48240,German
48240,Italian
48240,Polish
48240,Spanish
48240,Czech
48240,Russian
48700,English
48700,Czech
48700,French
48700,German
48700,Hungarian
48700,Polish
48700,SimplifiedChinese
48700,TraditionalChinese
48700,Spanish
48700,Turkish
48720,English
48720,French
48720,Spanish
48720,German
48720,Turkish
48720,Polish
48720,SimplifiedChinese
48720,TraditionalChinese
48720,Czech
48720,Japanese
48800,English
48800,German
48800,Spanish
49000,English
49330,English
49330,German
49540,English
49540,French
49540,German
49540,Italian
49540,Polish
49540,Russian
49540,Spanish
50000,English
50300,English
50300,French
50300,German
50300,Italian
50300,Japanese
50300,Spanish
50620,English
50620,French
50620,German
50620,Italian
50620,Spanish
50620,Czech
50620,Japanese
50620,Polish
50620,Russian
50920,English
50930,English
50940,English
50960,English
50970,English
50980,English
50990,English
51000,English
51010,English
51060,English
55000,English
55040,English
56438,English
56438,French
56438,German
56438,Italian
56438,Spanish
57000,English
57000,French
57000,German
57000,Italian
57000,Spanish
57200,English
57200,French
57200,German
57200,Italian
57200,Polish
57200,Portuguese
57200,Russian
57200,Spanish
57200,Swedish
57200,Japanese
57200,SimplifiedChinese
57300,English
57300,French
57300,German
57300,Italian
57300,Spanish
57300,Russian
57300,SimplifiedChinese
57400,English
57400,French
57400,German
57400,Italian
57400,Polish
57400,Portuguese
57400,Russian
57400,Spanish
57680,English
57680,French
57680,German
57690,English
57690,French
57690,German
57690,Italian
57690,Spanish
57690,Korean
57900,English
57900,French
57900,German
57900,Italian
57900,Spanish
58200,English
58230,English
58520,English
58520,French
58520,German
58520,Italian
58520,Spanish
58560,English
58560,French
58560,Italian
58560,Spanish
58570,English
58570,French
58570,German
58570,Russian
58610,English
58610,French
58610,German
58610,Italian
58610,Spanish
58610,Russian
58610,TraditionalChinese
60800,English
61510,English
61730,English
61730,German
61730,French
61730,Italian
61730,Spanish
63200,English
63200,French
63200,German
63200,Italian
63200,Japanese
63200,Korean
63200,Spanish
63200,TraditionalChinese
63380,English
63380,French
63380,German
63380,Italian
63380,Polish
63380,Russian
63380,Spanish
63610,English
63610,French
63610,Italian
63610,German
63610,Spanish
63610,Japanese
63610,Polish
63610,Russian
63650,English
63650,French
63650,German
63660,English
63660,French
63660,German
63660,Spanish
63660,Polish
63700,English
63910,English
63910,Russian
63910,German
63910,Italian
63910,Spanish
63910,Czech
63910,Polish
64000,English
64000,Russian
64000,Italian
