app_id,streamer_id,streamer_name,followers
1940340 ,486975959 ,Lyrenstraz,2496 
1940340 ,70569424 ,TheChimpPit,1323 
1940340 ,170372379 ,Yvon_Sniper,1152 
1940340 ,584521856 ,Mintius_Fox,1005 
1940340 ,44836156 ,Chrizzall,968 
1940340 ,21805913 ,Sorn4,907 
1940340 ,44227493 ,DrWegi,690 
1940340 ,434635008 ,Tyurru_Madaya,643 
1940340 ,60839147 ,ArcanaArcade,641 
1940340 ,689120210 ,ManouchKa,637 
1940340 ,31087813 ,T1ltedGaming,634 
1940340 ,54376818 ,Goombrah,544 
1940340 ,47710025 ,Mariner_Hawk,539 
1940340 ,184967690 ,ujung1,435 
1940340 ,79376767 ,Ekirel,430 
1940340 ,133507905 ,illiusX,367 
1940340 ,103366237 ,AceAngel73,365 
1940340 ,98222247 ,HePraisesTheSun,362 
1940340 ,123935956 ,Z_Raven,316 
1940340 ,804573924 ,Globuloso,310 
1940340 ,203243874 ,JimFinMorrison,298 
1940340 ,40237462 ,AlphaBugg,281 
1940340 ,21957057 ,MiraVoiblin,268 
1940340 ,151302818 ,Soapy_Sharkk,243 
1940340 ,149297248 ,jshwan,219 
1940340 ,195981003 ,phoenixsociety,217 
1940340 ,64454348 ,Apresanteur,196 
1940340 ,149472639 ,BillyThrottle,194 
1940340 ,105510484 ,MazeyCabbit12,193 
1940340 ,74743975 ,Nokime,189 
1940340 ,620292123 ,DrBigfoot_MD,175 
1940340 ,208849425 ,LuMosido,161 
1940340 ,467677420 ,Jarebroni,138 
1940340 ,39873209 ,Erkandor,125 
1940340 ,157844729 ,RichardRump,118 
1940340 ,121662665 ,Finnish_Jager,110 
1940340 ,698918594 ,Pycon929,109 
1940340 ,1051809446 ,bogtop87,1 
1942330 ,668020565 ,哈囉亞布 (12_yaboo_16),308 
1942660 ,647885626 ,HoloFightZ,12008 
1942660 ,83025838 ,Filthymaggot88,5802 
1942660 ,817922545 ,pikathchuuuu,1808 
1942660 ,819541835 ,TheRealSabuECW,1779 
1942660 ,710317333 ,KuarCB,1184 
1942660 ,31382024 ,aRedRobe,925 
1942660 ,819818622 ,mancowara,660 
1942660 ,552918880 ,stonESXI,612 
1942660 ,678343376 ,WildCardKawaii,505 
1942660 ,532243667 ,NewEraPro_NEPW,500 
1942660 ,489196744 ,CaptainBiggie1118,495 
1942660 ,24336773 ,Rimidalv51,419 
1942660 ,621716629 ,YouAreSignedIn,384 
1942660 ,418385587 ,Smilbic,326 
1942660 ,601616526 ,shaggsworld,312 
1942660 ,440219963 ,shadowarrow1999,207 
1942660 ,789710672 ,Shimron_,110 
1942660 ,790822467 ,clashofchuubas,97 
1942660 ,223155396 ,jraab93,79 
1942660 ,123791476 ,pipebombtv04,72 
1942660 ,1011918206 ,NoboruTakedaAlter,72 
1942660 ,135528621 ,Zoe3043,53 
1942660 ,808842611 ,ucw_network,40 
1942660 ,743167488 ,bandapanda,36 
1942660 ,1022349279 ,kasarito23,26 
1944430 ,21705890 ,Barley,7736 
1944430 ,90858062 ,BozonBunch,5416 
1944430 ,139889276 ,MrBang,1634 
1944430 ,78293341 ,soborkid,1428 
1944430 ,263352248 ,xexis3,1417 
1944430 ,157332943 ,xXmonsterkaXx,1194 
1944430 ,710546701 ,TheRogueAri,1133 
1944430 ,207790197 ,MordecaiTheBoy,574 
1944430 ,93775908 ,Adelais4,533 
1944430 ,52201903 ,owoYanni,503 
1944430 ,670693229 ,jkpazzy,462 
1944430 ,126262224 ,muffinamoo,410 
1944430 ,465656051 ,diatengu,399 
1944430 ,582243758 ,KactiPlant,375 
1944430 ,733601376 ,Lilurana,213 
1944430 ,723260235 ,zoloman_kd,193 
1944430 ,537197903 ,esquiadorsemgelo,174 
1944430 ,1064776110 ,gametimedotcom,155 
1944430 ,204765480 ,lashyndragon,140 
1944430 ,62318296 ,PsychovisionTTV,139 
1944430 ,189584088 ,dombichannel,105 
1944430 ,49797738 ,Vlirt95,70 
1944430 ,679672655 ,QueenKrisee,61 
1944430 ,134694498 ,BoonTheGayAgenda,58 
1944430 ,535217014 ,yw4456,18 
1944850 ,57859045 ,svenvanmuylder,97 
1944910 ,129821917 ,kingcoupa,113 
1946550 ,156453301 ,Dj_justINcase,57 
1947070 ,36775591 ,DrOolongVR,808 
1947070 ,262482181 ,BenTheBassist,77 
1947070 ,584891522 ,goosenheimer1,35 
1947070 ,1103495862 ,Teutonic_KnightsBE,4 
1948280 ,58948989 ,ScaredyC,513 
1948800 ,190259180 ,琮琮危機 (uu_430),914 
1948800 ,55269602 ,Travenura,612 
1948800 ,94579702 ,Surreal_Memoir,518 
1948800 ,32287742 ,senpaiblank_,219 
1948800 ,28647002 ,Pittbunny,167 
1948800 ,90271001 ,PommelThrow,160 
1948800 ,228222369 ,tralekast,81 
1948800 ,74371363 ,dvs_nttvt,39 
1948800 ,467610310 ,蘇菜餅乾 (kobe_0927),12 
1948800 ,1042784145 ,TalkingNonsense2,6 
1949770 ,837301893 ,Ranko_Nielson,304 
1954200 ,60128651 ,Aeolux,16772 
1954200 ,67541387 ,Retro_Stu,2161 
1954200 ,587622447 ,Dzsi_,1217 
1954200 ,492537407 ,LovelyRitaMeterMaid,863 
1954200 ,513283552 ,JkImExploring,796 
1954200 ,178942040 ,JigPaw86,745 
1954200 ,502126276 ,zingybeams,705 
1954200 ,52290745 ,Suncatcher,471 
1954200 ,591367221 ,bbnini,415 
1954200 ,31090152 ,酪酪子 (laolaozi0517),387 
1954200 ,460913168 ,DrakainaBri,386 
1954200 ,759100184 ,boowazowski90,287 
1954200 ,189759027 ,WovenDaffodil,287 
1954200 ,35282812 ,maical23,277 
1954200 ,466450506 ,veyberry,260 
1954200 ,35982381 ,oswald_jovens,248 
1954200 ,440178044 ,SantiMentalSloth,238 
1954200 ,466586056 ,raguenardgertha,236 
1954200 ,179069325 ,TuturuNiniDesu,213 
1954200 ,676070101 ,scytheaudio,202 
1954200 ,735209929 ,balalai4ka,150 
1954200 ,135420634 ,blueserenityjojo,149 
1954200 ,920168964 ,brooksyXx,114 
1954200 ,526773835 ,ReineDuJeu,114 
1954200 ,904371438 ,idxnsie,86 
1954200 ,31299740 ,neigara,84 
1954200 ,450003894 ,mara_cooper,76 
1954200 ,449740208 ,Faiw9,74 
1954200 ,65181421 ,edgekonvikt,73 
1954200 ,744856845 ,Smiley_Carebear,71 
1954200 ,83026113 ,ppappel,50 
1954200 ,509465156 ,georgiadv,13 
1955960 ,441103283 ,rhihno,5952 
1955960 ,822288713 ,PlayHAWKED,4669 
1955960 ,605924662 ,twitch_magrao_,4350 
1955960 ,146338280 ,NoticedOD,3292 
1955960 ,216709578 ,Osso88,1273 
1955960 ,152003765 ,staytrue_s,1022 
1955960 ,477500779 ,waveretro,957 
1955960 ,74062698 ,Orange__Coffee,773 
1955960 ,835689249 ,BL4CKinR3D,116 
