dlc_g_id ,dlc_id
24010,325990
24010,677960
24010,222593
24010,222561
24010,1109209
24010,277775
24010,820203
24010,1804511
24010,258643
24010,1717657
24010,1717654
24010,1230271
24010,1515063
24010,448192
24010,2009523
24010,2009529
24010,1922048
24010,2009522
24010,704286
24010,980547
24010,500246
24010,643692
24010,621927
24010,277770
24010,376955
24010,1515062
24010,1922041
24010,1267509
24010,1637255
24010,1804510
24010,1637259
24010,1560933
24010,1869395
24010,1364037
24010,277742
24010,1869397
24010,1922040
24010,1922044
24010,896768
24010,1804517
24010,1717659
24010,1869399
24010,1055372
24010,1055371
24010,1869396
24010,1804519
24010,1055370
24010,1804518
24010,980548
24010,1211470
24010,896719
24010,258654
24010,1098161
24010,1267503
24010,1267507
24010,258653
24010,1107812
24010,65232
24010,376946
24010,222610
24010,1109207
24010,1717655
24010,1429759
24010,1515064
24010,1869390
24010,1804513
24010,1804515
24010,222638
24010,1560935
24010,1717658
24010,1717651
24010,1560938
24010,1717656
24010,1717653
24010,1364033
24010,1364039
24010,1804512
24010,1230279
24010,1717652
24010,1717650
24010,1429750
24010,448190
24010,1098163
24010,774759
24010,861887
24010,208283
24010,1637256
24010,208377
24010,222578
24010,222607
24010,208369
24010,376945
24010,24096
24010,222613
24010,208284
24010,967283
24010,896718
24010,1637253
24010,1637258
24010,1637252
24010,1364036
24010,376943
24010,325981
24010,1637254
24010,65255
24010,65258
24010,1098166
24010,65233
24010,325960
24010,642804
24010,277756
24010,325959
24010,258640
24010,376956
24010,1637250
24010,222544
24010,325958
24010,208280
24010,258644
24010,277757
24010,1267504
24010,1230277
24010,277739
24010,24012
24010,222611
24010,65231
24010,222627
24010,448180
24010,222632
24010,222557
24010,24075
24010,277731
24010,222603
24010,65239
24010,208361
24010,65218
24010,222608
24010,222639
24010,1012100
24010,222602
24010,65256
24010,325971
24010,325974
24010,222604
24010,222576
24010,208292
24010,208350
24010,222558
24010,65253
24010,222579
24010,562381
24010,208364
24010,208304
24010,222581
24010,562378
24010,222635
24010,277776
24010,208282
24010,678001
24010,1515068
24010,861889
24010,678003
24010,1560934
24010,1560932
24010,1560939
24010,1515065
24010,1267500
24010,258652
24010,1560931
24010,1364030
24010,980544
24010,1211477
24010,1429755
24010,1364038
24010,678002
24010,448199
24010,376953
